rows,cols,ratio,r_row,r_cell,variant,family,rmse,max_abs_error,max_rel_error,mean_rel_error,backend,elapsed_s
8,8,0.0007,7.0,10000.0,wl_buffer_full,full,9.79716308893762e-06,9.79716308893762e-06,0.017494934087388607,0.017494934087388607,dense,0.0022189000010257587
8,8,0.0007,7.0,10000.0,bl_star,full,9.209613988019824e-06,1.2488251902006585e-05,0.02230044982501176,0.015121876899512561,dense,0.0015144999924814329
8,8,0.0007,7.0,10000.0,combined_full,full,1.7570337702521284e-06,1.7570337702521284e-06,0.0031375603040216583,0.0031375603040216583,dense,0.0022166999988257885
8,8,0.001,10.0,10000.0,baseline,none,2.3517795458720532e-05,2.8457111424401243e-05,0.05081627040071651,0.04106751207567594,dense,0.002175899993744679
8,8,0.001,10.0,10000.0,wl_partial_2,partial,1.414623915026204e-05,1.4409795196804187e-05,0.025731777137150337,0.02525667313754061,dense,0.001786199994967319
8,8,0.001,10.0,10000.0,wl_partial_4,partial,1.5779649719184818e-05,1.70574655226042e-05,0.030459759861793216,0.02809438523400775,dense,0.0015429000050062314
8,8,0.001,10.0,10000.0,wl_full_nonideal_lo,partial,1.39775446841426e-05,1.3984190233750282e-05,0.024971768274554076,0.024959881408232826,dense,0.002616500001749955
8,8,0.001,10.0,10000.0,wl_full_nonideal_hi,partial,1.4376936818214865e-05,1.4409924825850074e-05,0.02573200861758942,0.02567262063175081,dense,0.0030937999981688336
8,8,0.001,10.0,10000.0,wl_buffer_full,full,1.3877678717241293e-05,1.3877678717241293e-05,0.024781569137930882,0.024781569137930882,dense,0.002212899998994544
8,8,0.001,10.0,10000.0,bl_star,full,1.3051808842527724e-05,1.7690442337046117e-05,0.031590075601868065,0.021436947450940165,dense,0.0014747000095667318
8,8,0.001,10.0,10000.0,combined_full,full,2.5058101102532707e-06,2.5058101102532707e-06,0.0044746609111665555,0.0044746609111665555,dense,0.0020533999922918156
16,16,0.0001,1.0,10000.0,baseline,none,1.9250164178286502e-05,2.3422149575830177e-05,0.020912633549848375,0.016784790826744445,dense,0.00962069998786319
16,16,0.0001,1.0,10000.0,wl_partial_2,partial,1.0414209514717923e-05,1.046902869595895e-05,0.00934734704996335,0.009298271846705506,dense,0.016847600010805763
16,16,0.0001,1.0,10000.0,wl_partial_4,partial,1.0746647142658565e-05,1.101839882120567e-05,0.009837856090362206,0.009592586990814776,dense,0.022848499997053295
16,16,0.0001,1.0,10000.0,wl_full_nonideal_lo,partial,1.0380401017054892e-05,1.0381087783245362e-05,0.009268828377897645,0.009268214889235238,dense,0.034848700001020916
